,subscribe
13296,0
22461,0
1661,0
1398,0
36917,0
28530,0
10092,0
4499,0
31031,1
10754,0
41320,1
27450,0
19174,0
35971,0
30592,0
33120,0
20025,0
9997,0
17413,0
13848,0
34824,0
30087,0
13058,0
37802,0
37630,0
5590,0
35507,0
31147,1
17481,0
6730,0
506,0
42180,1
10563,0
22595,0
21301,0
10990,0
31291,0
11481,0
26023,0
21178,0
28582,0
24935,0
697,0
11102,0
28195,0
35918,0
4238,0
35755,0
44637,0
43565,1
25379,0
11980,0
2614,0
19651,1
22426,0
18403,0
23433,0
22003,0
34774,0
29314,0
39958,1
33699,1
20569,1
34598,0
44042,0
16004,0
22552,0
32803,0
37489,0
6093,0
20262,0
16424,0
24834,0
8356,0
15065,0
16992,0
29745,0
42709,0
27989,0
24086,0
14380,0
8884,1
3705,0
30398,0
32804,0
16843,0
215,0
17331,0
16853,0
5423,0
15202,0
38177,0
19531,0
621,0
19928,0
24711,0
42124,0
8467,0
32503,0
40604,0
19146,0
28864,0
45101,1
12053,0
31914,1
9955,0
37019,0
18117,0
23564,0
23508,0
44735,1
19305,0
21286,0
44545,0
27337,0
17697,1
33888,0
33516,0
36757,0
9827,0
11800,0
9174,0
10966,0
1648,0
34904,0
6109,0
41824,0
45004,1
40403,1
27662,0
39598,0
29773,0
43361,1
15006,0
23192,0
37892,0
13966,0
28321,0
30649,0
26103,0
11281,0
42160,0
24464,0
38129,0
36387,0
13091,0
4014,0
12162,0
2643,0
5647,0
24292,0
34464,0
28065,0
6545,0
26221,0
24237,0
29515,1
15392,1
14471,0
11502,0
24275,1
33326,0
8126,0
4978,0
15863,0
13492,0
14197,0
28967,0
37468,0
12433,0
33308,0
3555,0
27905,0
40059,0
28031,0
13344,0
44368,1
40439,1
45046,1
32519,0
14403,0
41877,0
18508,0
24974,0
38282,0
325,0
6613,0
38817,0
20436,0
4567,0
41687,0
15980,1
34099,0
24889,0
42838,0
11892,0
22432,0
19629,0
7445,0
38148,0
509,0
22904,0
5578,0
20144,0
27167,0
38486,0
29395,0
26637,0
13720,0
20800,0
12558,0
43647,1
28437,0
27624,0
40070,1
40825,1
2028,0
27620,0
5870,0
29913,0
15690,1
1061,0
16642,0
2751,0
26871,0
13732,0
43714,1
11140,0
23918,0
5721,0
44889,0
24643,0
42132,1
41703,1
44271,0
26165,0
1504,0
29115,0
32263,0
3355,0
18771,1
3727,0
30064,0
42253,1
6112,1
19772,0
7565,0
4265,0
10266,0
32755,0
41494,1
25051,0
15766,0
39973,1
5666,0
40680,1
35892,0
31005,0
4758,0
371,0
36698,0
13201,1
37951,0
33956,0
22390,0
17588,1
15467,0
9958,1
1603,0
3912,0
32134,0
15087,0
165,0
3314,1
21284,0
14717,0
8587,0
34251,0
23542,0
19538,0
45197,1
7617,0
5280,0
18246,0
5891,0
35781,0
35937,0
34205,1
32822,0
41546,0
12302,0
10668,0
30306,0
25949,0
35327,0
18607,0
237,0
4738,0
33874,0
20834,0
15881,0
39634,0
15944,0
41034,0
33689,0
31070,0
32364,1
8996,0
13375,0
16722,0
20748,0
28184,0
41228,1
21703,0
44934,1
21475,0
27702,0
25419,0
2239,0
41326,0
32446,0
35508,0
3545,0
1623,0
8974,0
22268,0
19897,0
24102,1
43129,1
10607,0
37938,0
29767,0
18443,0
24982,0
6968,0
29374,0
40964,1
8973,0
20142,0
40423,0
12769,0
44721,0
13861,0
4624,0
29057,0
28559,0
20052,0
34397,1
4776,0
766,0
18628,0
8043,0
35659,0
20536,0
40410,0
26986,0
23691,0
37297,0
9753,0
40081,1
7111,0
3608,0
1344,0
38574,0
12214,0
18040,0
945,0
12893,0
9188,0
37502,0
7322,0
15686,1
7295,0
13337,0
35087,0
34414,0
5407,0
39620,0
44111,0
8025,0
38222,0
4085,0
10304,0
41258,0
29934,1
5887,0
2117,0
23211,0
27636,0
35994,0
21656,0
42766,1
29705,0
3758,0
11341,0
21992,0
1075,0
18758,0
7425,0
37854,0
25205,0
6743,0
14334,0
3068,0
13746,0
8167,0
26433,0
2219,0
788,0
3221,0
35329,0
27536,0
31019,0
1777,0
14556,0
33301,0
10346,0
29028,0
18132,0
10386,0
19858,0
38587,0
31661,1
18689,0
17948,0
14597,0
35273,0
41220,1
30035,0
7502,0
39999,0
24323,0
9120,0
27168,0
36999,0
19874,0
17862,0
13202,0
19871,0
43874,1
21705,0
3326,0
43990,1
25112,0
234,0
16906,0
30033,0
12607,0
3732,0
37853,0
39398,0
30943,0
22401,0
5875,0
43368,0
3645,0
36807,0
40857,1
23406,0
40592,0
444,0
13235,0
40319,0
25668,0
20097,0
21190,0
28570,0
23134,0
38699,0
24748,0
25105,0
30132,0
17329,0
42437,0
30427,0
21726,0
17843,0
34388,0
23324,0
12794,0
42272,0
35241,0
11676,0
17422,0
10969,0
4165,0
1437,0
35256,0
13281,0
35714,0
24597,0
35569,0
23624,0
18643,0
35221,0
34124,0
16649,0
43915,1
8931,0
1780,0
10949,0
7538,0
36817,0
12316,0
7210,0
40587,0
21640,0
2112,0
35506,0
21463,0
1219,0
36819,1
29883,0
1402,0
32601,0
9020,0
22203,0
37066,0
20100,0
17596,0
25036,0
41552,1
23753,0
22562,0
1109,0
17327,0
35759,0
1722,0
9799,1
13075,0
37264,0
34609,0
23266,0
32315,0
1726,0
15665,0
25478,0
3508,0
40655,0
1155,0
28662,0
32661,0
24191,0
39182,0
19713,0
10317,0
14017,0
28254,0
30240,0
3855,0
21671,0
21903,0
33307,1
8842,0
36533,0
27554,0
17301,0
26481,0
23426,0
10053,1
18929,0
28587,0
43567,0
30717,0
44657,1
30702,0
17374,0
25414,0
406,0
4276,0
19213,0
41977,0
32671,0
290,0
24832,0
21262,0
9207,0
38557,0
21669,0
34334,0
20180,0
39927,0
43813,0
27166,0
15177,0
27491,0
9976,0
22171,1
1747,0
31915,0
28029,0
27429,0
44169,1
3813,0
44654,1
24072,0
3672,0
41510,1
29735,0
13214,0
41500,0
41597,0
31675,0
31052,0
22106,0
30162,0
13196,0
1915,0
39344,0
1168,0
35690,0
20301,0
16085,0
37789,0
31360,0
7668,1
2800,0
9553,0
35311,0
13365,0
7461,0
15021,0
3870,0
37033,0
7452,0
19183,0
15052,0
38221,0
17520,0
37761,0
16917,0
10775,0
11217,0
24442,0
42656,1
16063,0
25272,0
34941,0
19816,0
25666,0
379,0
38273,0
38155,1
24883,0
3693,0
40566,1
7023,0
44961,1
10130,0
9606,0
20195,0
6709,0
12457,0
7684,0
24007,0
20532,0
891,1
33606,0
39602,0
39533,0
24925,0
39954,1
13677,0
8315,0
39135,0
39694,1
42781,0
5497,0
15735,0
16400,0
13578,0
1703,0
30235,0
34916,0
20660,0
44675,0
36323,0
13591,0
6491,0
35986,0
38605,0
22788,0
37682,0
19088,0
11300,0
14773,0
16836,0
31825,0
17647,0
30784,0
19053,0
4194,0
44663,1
1143,0
14667,1
7605,0
10068,0
19430,0
31105,1
43701,1
24796,0
29736,0
4428,0
25142,0
6470,0
27142,0
23532,0
1206,0
15305,0
39393,0
33425,0
22172,0
16842,1
22741,0
34411,0
18327,0
8270,0
27003,0
44332,1
16352,0
9656,0
15741,0
43313,1
5405,0
33148,0
17564,0
32280,0
35330,0
16983,0
36359,0
36924,0
5909,0
28356,0
24515,0
38447,0
44252,1
41171,0
41109,0
28084,0
17758,0
3852,0
31032,1
10139,0
36217,0
38715,0
37158,1
18742,0
18657,0
8031,0
615,0
27804,0
27628,0
22009,0
470,0
8140,0
30073,0
41409,0
32927,0
351,0
17140,0
34818,0
888,0
11710,0
16105,0
41051,0
25276,0
32894,0
606,0
9647,1
39472,0
14943,0
16429,0
4347,0
37828,0
18072,1
17814,0
27466,0
16982,0
922,0
40106,0
18439,0
29117,0
7475,0
4582,0
36756,1
17199,0
15653,0
36988,0
30405,0
1636,0
27483,0
31843,1
31355,1
9619,0
22778,0
18174,0
26291,0
10938,0
25858,0
8209,0
6184,1
17242,0
24305,0
33212,0
35070,0
20375,0
22818,0
15677,0
44770,1
39326,0
28523,0
26459,0
4731,0
15442,0
704,0
23907,0
9356,0
17964,0
43243,1
1820,0
42453,0
21819,0
1461,0
5342,1
41450,0
139,0
6674,0
20888,0
14482,0
30904,0
15911,0
44342,0
2713,0
42085,1
13164,1
13820,0
10964,0
12083,0
24629,0
22837,0
9540,0
4836,0
1198,0
25793,0
42493,1
15038,0
35853,0
37415,1
33238,0
12902,0
828,0
32739,0
8217,0
